0,0,0,0,0,0
\frac{31}{10}, \frac{49}{15}, \frac{33}{10}, \frac{109}{33}, \frac{15}{4},D
1 ,2 ,3 ,4 ,5,E
3 ,6 ,8 ,9 ,12, B
441 , 761 , 841 , 921  , 924,C
10 ,26 ,32 ,36 ,40, D
\sqrt{10},\sqrt[3]{100},\sqrt[4]{1000},10,10\sqrt[3]{10},A
7 ,12 ,21 ,27 ,31, A
108 ,120 ,126 ,132 ,144, E
10 ,18 ,25 ,36 ,81, E
\frac14 ,\frac13 ,\frac25 ,\frac12 ,\frac{\sqrt{3}}{2}, B
13 ,14 ,15 ,16 ,17, A
\frac{3}{2} ,\frac{7}{4} ,2 ,\frac{9}{4} ,3, C
\frac{24}{5} ,\frac{42}{5} ,\frac{81}{5} ,30 ,48, D
~6 ,~9 ,~12 ,~18 ,~27, D
{-}4 ,{-}1 ,0 ,1 ,4, A
359 ,360,719 ,720 ,721, A
4082 ,4095 ,4096 ,8178 ,8191, D
\frac{1}{4},\frac{1}{3},\frac{1}{2},\frac{2}{3},\frac{3}{4}, B
x^2 -x + 1 , x^2 + x + 1 , x^4 + 1 , x^6 - x^3 + 1  , x^6 + x^3 + 1, E
4.5 ,5 ,5.5 ,6,6.5, A
0 ,3 ,7 ,8,10, D
500,625,1089,1199,1296, E
~\frac{21}{5} ,~\frac{85}{13} ,~7 ,~\frac{39}{5} ,~17, E
